Destinatário,Estado,Município,Tipo,Endereço,Educação infantil,Cação/anjo
ANA LUCIA PIERINI PROFESSORA,São Paulo,Sumaré,Escolas,N/A,Sim,cação
ANA MARIA CHAVES COLARES,Espírito Santo,Vitória,Escolas,"R. Oswaldo Bastos de Souza Freitas 380, Jardim Camburi - 29090-450",,cação
ANANDA MARGA (RESTINGA NOVA),Rio Grande do Sul,Porto Alegre,Escolas,"Alameda ""D"", 84",Sim,anjo
ANANDA MARGA DO BARRO VERMELHO,Rio Grande do Sul,Porto Alegre,Escolas,"R. ""U"", 52",Sim,anjo
ANA PEREIRA GONÇALVES,Rio de Janeiro,Cabo Frio,Escolas,"Rua 16, s/n.º, Unamar",,cação
ANDRE RODRIGUES DE ALKIMIN PROFESSOR,São Paulo,Sumaré,Escolas,N/A,Sim,cação
ANGELIM,Rio de Janeiro,Cabo Frio,Escolas,Estrada do Araçá – Tamoios - 2º Distrito,,cação
ANGELO CAMPO DALL ORTO,São Paulo,Sumaré,Escolas,N/A,Sim,cação
ANÍSIO SPÍNOLA TEIXEIRA,Espírito Santo,Vitória,Escolas,"R.América do Sul, 100 - Resistência 29032-570",,cação
ANITA GARIBALDI,Santa Catarina,Joinville,Escolas,"R.: Independência, 965",,cação
ANITA TEIXEIRA DA SILVA,Rio de Janeiro,Cabo Frio,Escolas,"Rua Juscelino Kubistchek, s/nº, Santo Antônio 2º Distrito",,cação
ANJINHO DA GUARDA,Rio Grande do Sul,Porto Alegre,Escolas,"Rua Domingos de Abreu, 290",Sim,anjo
ANNA MARIA HARGER (PROFª),Santa Catarina,Joinville,Escolas,"R.: Barbosa Rodrigues, 227",,cação
ANTÔNIA MALBAR,Espírito Santo,Vila Velha,Escolas,"Rua Basílio Costalonga, 215",,cação
ANTONIETTA CIA VIEL,São Paulo,Sumaré,Escolas,N/A,Sim,cação
ANTÔNIO AIRES DE ALMEIDA,Rio Grande do Sul,Gravataí,Escolas,"Rua Franciscanos, nº 56 – Pda. 103 – Passo da Caveira/Vila Sagrada Família",,anjo
ANTÔNIO BEZERRA DE FARIAS,Espírito Santo,Vila Velha,Escolas,Rua Operária s/n,,cação
ANTONIO DA CUNHA AZEVEDO,Rio de Janeiro,Cabo Frio,Escolas,"Rua Maestro Clodomiro Guimarães de Oliveira, 95 Passagem",Sim,cação
ANTÔNIO DEBARCELOS,Espírito Santo,Vila Velha,Escolas,Av. Rui Braga Ribeiro s/n,,cação
ANTONIO DO VALLE SOBRINHO,São Paulo,Sumaré,Escolas,N/A,Sim,cação
ANTÔNIO PINTO RODRIGUES,Espírito Santo,Vila Velha,Escolas,Rua Belo Horizonte s/n,,cação
ANTÔNIO RAMOS DA ROCHA,Rio Grande do Sul,Gravataí,Escolas,"Rua Amazonas, nº 165 – Pda: 88 – Parque dos Anjos",,anjo
APAE-ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE SÃO MATEUS/ES,Espírito Santo,São Mateus,Escolas,N/A,,cação
ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS (APAE) - SERRA/ES,Espírito Santo,Serra,Escolas,"R. Afonso Arinos Melo Franco, 133 - Parque Res. Laranjeiras",,cação
APAE-ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE VALENÇA/RJ,Rio de Janeiro,Valença,Escolas,Laranjeiras,,cação
APAE-ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE AMERICANA/SP,São Paulo,Americana,Escolas,N/A,,cação
APAE-ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE ITAPETININGA/SP,São Paulo,Itapetininga,Escolas,N/A,,cação
APAE-ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE SUMARÉ/SP,São Paulo,Sumaré,Escolas,N/A,,cação
APAE-ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE ESTEIO/RJ,Rio Grande do Sul,Esteio,Escolas,"Rua Alegrete, 393, Parque Amador",,"anjo, cação"
APAE-ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE CARIACICA/ES,Espírito Santo,Cariacica,Escolas,"Rua Carlos Rogério de Jesus, S/N, Bairro Santa Fé, CEP 29143-738",,cação
